annotation_id,answer  # one of YES / NO / CANNOT_TELL
unit_0003,NO
unit_0008,NO
unit_0011,NO
unit_0015,NO
unit_0017,NO
unit_0022,NO
unit_0023,NO
unit_0030,NO
unit_0037,NO
unit_0050,NO
unit_0058,NO
unit_0062,NO
unit_0063,NO
unit_0067,YES
unit_0068,NO
unit_0073,NO
unit_0075,NO
unit_0098,NO
unit_0099,YES
unit_0105,NO
unit_0108,NO
unit_0110,NO
unit_0111,NO
unit_0112,NO
unit_0116,NO
unit_0118,NO
unit_0122,YES
unit_0127,NO
unit_0129,NO
unit_0149,NO
unit_0150,NO
unit_0153,NO
unit_0163,NO
unit_0166,NO
unit_0171,NO
unit_0175,NO
unit_0179,NO
