annotation_id,answer  # one of YES / NO / CANNOT_TELL
unit_0056,NO
unit_0133,NO
unit_0152,YES
unit_0025,NO
unit_0085,NO
unit_0123,NO
unit_0107,NO
unit_0138,NO
unit_0199,NO
unit_0146,YES
unit_0091,NO
unit_0047,NO
unit_0077,NO
unit_0082,NO
unit_0158,NO
unit_0000,NO
unit_0060,NO
unit_0137,NO
unit_0109,YES
unit_0119,NO
unit_0121,NO
unit_0053,NO
unit_0134,NO
unit_0154,NO
unit_0126,NO
unit_0176,NO
unit_0104,NO
unit_0028,NO
unit_0160,NO
unit_0019,NO
unit_0159,NO
unit_0181,NO
unit_0089,NO
unit_0045,NO
unit_0016,NO
unit_0167,NO
unit_0132,NO
unit_0013,NO
unit_0064,NO
unit_0196,NO
unit_0168,NO
unit_0021,NO
unit_0041,NO
unit_0130,NO
unit_0002,NO
unit_0044,NO
unit_0007,NO
unit_0090,NO
unit_0102,NO
unit_0080,NO
unit_0040,YES
unit_0164,NO
unit_0142,NO
unit_0161,NO
unit_0012,NO
unit_0185,NO
unit_0059,NO
unit_0018,NO
unit_0190,NO
unit_0124,NO
